index	ID	SM	LB	PU	PL
38	FLE12_5_HHKJNCCX2_2	FLE12	5	HHKJNCCX2_2	Illumina
39	FLE13_5_HHKJNCCX2_2	FLE13	5	HHKJNCCX2_2	Illumina
40	FPC07_5_HHKJNCCX2_2	FPC07	5	HHKJNCCX2_2	Illumina
41	FPC08_5_HHKJNCCX2_2	FPC08	5	HHKJNCCX2_2	Illumina
42	FPC08_10_HHKJNCCX2_2	FPC08	10	HHKJNCCX2_2	Illumina
43	FPC09_5_HHKJNCCX2_2	FPC09	5	HHKJNCCX2_2	Illumina
44	FPQ06_5_HHKJNCCX2_2	FPQ06	5	HHKJNCCX2_2	Illumina
45	FPQ07_10_HHKJNCCX2_2	FPQ07	10	HHKJNCCX2_2	Illumina
46	FPQ08_5_HHKJNCCX2_2	FPQ08	5	HHKJNCCX2_2	Illumina
47	FRI04_5_HHKJNCCX2_2	FRI04	5	HHKJNCCX2_2	Illumina
48	FRI05_5_HHKJNCCX2_2	FRI05	5	HHKJNCCX2_2	Illumina
49	FRI08_5_HHKJNCCX2_2	FRI08	5	HHKJNCCX2_2	Illumina
50	FRI09_5_HHKJNCCX2_2	FRI09	5	HHKJNCCX2_2	Illumina
51	FPC07_6_HHKTMCCX2_7	FPC07	6	HHKTMCCX2_7	Illumina
52	FPC11_6_HHKTMCCX2_7	FPC11	6	HHKTMCCX2_7	Illumina
53	FPC12_6_HHKTMCCX2_7	FPC12	6	HHKTMCCX2_7	Illumina
54	FPC13_6_HHKTMCCX2_7	FPC13	6	HHKTMCCX2_7	Illumina
55	FPC14_6_HHKTMCCX2_7	FPC14	6	HHKTMCCX2_7	Illumina
56	FRI11_6_HHKTMCCX2_7	FRI11	6	HHKTMCCX2_7	Illumina
57	FRI12_6_HHKTMCCX2_7	FRI12	6	HHKTMCCX2_7	Illumina
58	FRI13_6_HHKTMCCX2_7	FRI13	6	HHKTMCCX2_7	Illumina
59	FRI14_6_HHKTMCCX2_7	FRI14	6	HHKTMCCX2_7	Illumina
60	FRI14_9_HHKTMCCX2_7	FRI14	9	HHKTMCCX2_7	Illumina
61	FRI15_6_HHKTMCCX2_7	FRI15	6	HHKTMCCX2_7	Illumina
62	FPC10_7_HHKTMCCX2_7	FPC10	7	HHKTMCCX2_7	Illumina
63	FPC15_7_HHKTMCCX2_7	FPC15	7	HHKTMCCX2_7	Illumina
64	FPC16_7_HHKTMCCX2_7	FPC16	7	HHKTMCCX2_7	Illumina
65	FPC17_7_HHKTMCCX2_7	FPC17	7	HHKTMCCX2_7	Illumina
66	FPC18_7_HHKTMCCX2_7	FPC18	7	HHKTMCCX2_7	Illumina
67	FPC20_7_HHKTMCCX2_7	FPC20	7	HHKTMCCX2_7	Illumina
68	FPC21_7_HHKTMCCX2_7	FPC21	7	HHKTMCCX2_7	Illumina
